startscan;ch1;ch2;ch3;ch4;ch5;ch6;status;
01.11.2018 13:00:02;150.24;244.94;177.58;168.09;394.07;530.22;4;
01.11.2018 13:10:02;154.74;229.8;149.32;133.74;380.38;564.54;4;
01.11.2018 13:20:02;170.4;248;157.39;137.04;376.32;558.13;4;
01.11.2018 13:30:02;255.18;374.28;224.14;153.44;274.51;551.3;4;
01.11.2018 13:40:02;225.53;355.42;232.07;177.1;350.12;657.15;4;
01.11.2018 13:50:02;150.78;210.87;125.85;109.3;394.67;646.67;4;
01.11.2018 14:00:02;80.6;128.79;94.16;103.01;387.37;597.3;4;
01.11.2018 14:10:01;103.74;132.45;72.37;73.1;398.66;665.97;4;
01.11.2018 14:20:01;194;248.83;128.99;95.29;367.23;651.44;4;
01.11.2018 14:30:02;113.04;144.79;74.41;59.79;302.58;541.18;4;
01.11.2018 14:40:01;306.75;334.52;160.72;103.6;284.7;488.11;4;
01.11.2018 14:50:01;322.6;441.81;239.1;140.84;225.56;500.61;4;
01.11.2018 15:00:02;1193.85;850.65;362.45;240.04;128;499.14;4;
01.11.2018 15:10:02;930.31;812.08;426.6;247.26;148.97;791.38;4;
01.11.2018 15:20:01;1289.86;1057.2;505.33;288.1;82.4;915.14;4;
01.11.2018 15:30:01;935.19;754.75;384.68;242.07;156.08;642.09;4;
01.11.2018 15:40:02;806.08;837.04;451.4;271.79;205.14;829.22;4;
01.11.2018 15:50:01;818.13;786.4;423.4;254.77;154.26;701.45;4;
01.11.2018 16:00:01;647.52;755.28;375.5;196.63;193.99;613.72;4;
01.11.2018 16:10:02;757.4;848.09;488.42;326.16;261.6;739;4;
01.11.2018 16:20:02;1056.95;1081.5;645.05;472;302.25;1038.12;4;
01.11.2018 16:30:02;1010.87;1095.8;664.49;475.26;294.48;1012.57;4;
01.11.2018 16:40:02;647.66;793.52;441.74;264.69;180.81;642.57;4;
01.11.2018 16:50:02;888.13;860.01;471.63;324.59;169.11;678.61;4;
01.11.2018 17:00:01;979.21;1030.85;560.15;322.49;146.08;756.36;4;
01.11.2018 17:10:02;758.46;612.34;310.18;227.04;177.21;557.18;4;
01.11.2018 17:20:02;729.44;670.37;349.9;224.8;114.96;621.77;4;
01.11.2018 17:30:02;1001.28;710.43;344.41;268.14;108.55;515.86;4;
01.11.2018 17:40:02;1071.39;894.51;445.16;281.76;140.44;720.59;4;
01.11.2018 17:50:02;920.97;645.79;322.48;211.66;67.32;538.59;4;
01.11.2018 18:00:03;1216.37;707.34;299.29;232.48;122.92;542.16;4;
01.11.2018 18:10:01;1481.99;743.08;312.65;278.93;129.19;624.67;4;
01.11.2018 18:20:01;1525.16;755.38;304.42;226.31;88.11;584.49;4;
01.11.2018 18:30:01;1269.44;568.14;271.76;239.5;78.37;573.63;4;
01.11.2018 18:40:01;1210.16;685.5;345.76;288.79;146.31;789.7;4;
01.11.2018 18:50:01;1229.7;802.38;377.74;255.06;141.1;710.43;4;
01.11.2018 19:00:02;1311.68;730.63;360.55;294.5;135.66;670.62;4;
01.11.2018 19:10:01;1305.82;815.64;466.06;368.06;109.16;634.82;4;
01.11.2018 19:20:01;1218.83;776.8;388.94;307.67;101.29;633.06;4;
01.11.2018 19:30:01;1227.31;968.29;500.28;336.79;159.63;804.08;4;
